Creatures caught by Grak & Art2 — Jun 20–28 2026 (America/Montreal)

Combined: 5905   (Grak 4052, Art2 1853)
Distinct fusion-pairs: 3205

--- SHINIES (6) ---
  ✨ [Grak] Hitmonlee/Machamp  lv9  variant#3  Jun-23 17:18
  ✨ [Grak] Dewgong/Heracross  lv10  variant#0  Jun-23 18:13
  ✨ [Grak] Seadra/Marowak  lv4  variant#2  Jun-25 20:18
  ✨ [Art2] Jynx/Eevee  lv2  variant#10  Jun-20 10:02
  ✨ [Art2] Sandshrew/Tauros  lv1  variant#8  Jun-23 14:26
  ✨ [Art2] Snubbull/Sandshrew  lv9  variant#11  Jun-23 17:17

--- LEGENDARIES (0) ---
  (none)

--- ALL FUSION-PAIRS BY COUNT (3205) ---
    17  Snorunt
    17  Geodude/Nosepass
    13  Nosepass
    12  Hitmonlee/Machop
    12  Machop
    12  Shuppet/Misdreavus
    12  Bagon
    11  Swinub/Lapras
    11  Gible/Bagon
    11  Dratini
    11  Omanyte/Nosepass
    10  Snorunt/Sneasel
    10  Tauros/Ditto
    10  Machop/Mankey
    10  Omanyte/Rhyhorn
    10  Omanyte/Aron
    10  Onix/Rhyhorn
     9  Jynx/Snorunt
     9  Jynx/Sneasel
     9  Hitmonlee/Ditto
     9  Hitmonlee/Porygon
     9  Shuppet/Spiritomb
     9  Shuppet/Sableye
     9  Aerodactyl/Nosepass
     8  Swinub/Snorunt
     8  Kangaskhan/Heracross
     8  Growlithe/Houndour
     8  Bagon/Dratini
     8  Mankey/Hitmonchan
     8  Mankey/Eevee
     8  Psyduck/Aron
     7  Hitmonchan/Porygon
     7  Swinub/Sneasel
     7  Snorunt/Eevee
     7  Porygon/Lickitung
     7  Magmar
     7  Tauros/Eevee
     7  Machop/Porygon
     7  Hitmonchan/Eevee
     7  Hitmonlee/Eevee
     7  Hitmonlee/Hitmonchan
     7  Machop/Hitmonchan
     7  Machop/Heracross
     7  Mankey/Heracross
     7  Hitmonlee/Heracross
     7  Spearow/Machop
     7  Lickitung/Snorlax
     7  Spearow/Mankey
     7  Hitmonlee/Chansey
     7  Hitmonchan/Machop
     7  Aerodactyl/Rhyhorn
     7  Tentacool/Rhyhorn
     7  Magikarp/Kabuto
     7  Tentacool/Magikarp
     7  Squirtle/Horsea
     7  Slowpoke/Omanyte
     7  Magikarp/Poliwag
     7  Horsea/Nosepass
     7  Gible/Dratini
     7  Staryu/Bagon
     7  Duskull/Spiritomb
