"service_id","date","exception_type"
"14905300","20250911","1"
"14905305","20250911","1"
"14905300","20250912","1"
"14905305","20250912","1"
"14905100","20250913","1"
"14905200","20250914","1"
"14905300","20250915","1"
"14905304","20250915","1"
"14905300","20250916","1"
"14905304","20250916","1"
"14905300","20250917","1"
"14905304","20250917","1"
"14905300","20250918","1"
"14905304","20250918","1"
"14905300","20250919","1"
"14905304","20250919","1"
"14905100","20250920","1"
"14905200","20250921","1"
"14905300","20250922","1"
"14905304","20250922","1"
"14905300","20250923","1"
"14905304","20250923","1"
"14905300","20250924","1"
"14905304","20250924","1"
"14905300","20250925","1"
"14905304","20250925","1"
"14905300","20250926","1"
"14905304","20250926","1"
"14905100","20250927","1"
"14905200","20250928","1"
"14905300","20250929","1"
"14905304","20250929","1"
"14905300","20250930","1"
"14905304","20250930","1"
"14905300","20251001","1"
"14905304","20251001","1"
"14905300","20251002","1"
"14905304","20251002","1"
"14905300","20251003","1"
"14905304","20251003","1"
"14905100","20251004","1"
"14905200","20251005","1"
"14905300","20251006","1"
"14905304","20251006","1"
"14905300","20251007","1"
"14905304","20251007","1"
"14905300","20251008","1"
"14905304","20251008","1"
"14905300","20251009","1"
"14905304","20251009","1"
"14905300","20251010","1"
"14905304","20251010","1"
"14905100","20251011","1"
"14905200","20251012","1"
"14905300","20251013","1"
"14905304","20251013","1"
"14905300","20251014","1"
"14905304","20251014","1"
"14905300","20251015","1"
"14905304","20251015","1"
"14905300","20251016","1"
"14905304","20251016","1"
"14905300","20251017","1"
"14905304","20251017","1"
"14905100","20251018","1"
"14905200","20251019","1"
"14905300","20251020","1"
"14905304","20251020","1"
"14905300","20251021","1"
"14905304","20251021","1"
"14905300","20251022","1"
"14905304","20251022","1"
"14905300","20251023","1"
"14905304","20251023","1"
"14905300","20251024","1"
"14905304","20251024","1"
"14905100","20251025","1"
"14905200","20251026","1"
"14905300","20251027","1"
"14905304","20251027","1"
"14905300","20251028","1"
"14905304","20251028","1"
"14905300","20251029","1"
"14905304","20251029","1"
"14905300","20251030","1"
"14905304","20251030","1"
"14905300","20251031","1"
"14905304","20251031","1"
"14905100","20251101","1"
"14905200","20251102","1"
"14905300","20251103","1"
"14905304","20251103","1"
"14905300","20251104","1"
"14905304","20251104","1"
"14905300","20251105","1"
"14905304","20251105","1"
"14905300","20251106","1"
"14905304","20251106","1"
"14905300","20251107","1"
"14905304","20251107","1"
"14905100","20251108","1"
"14905200","20251109","1"
"14905300","20251110","1"
"14905304","20251110","1"
"14905300","20251111","1"
"14905304","20251111","1"
"14905300","20251112","1"
"14905304","20251112","1"
"14905300","20251113","1"
"14905304","20251113","1"
"14905300","20251114","1"
"14905304","20251114","1"
"14905100","20251115","1"
"14905200","20251116","1"
"14905300","20251117","1"
"14905304","20251117","1"
"14905300","20251118","1"
"14905304","20251118","1"
"14905300","20251119","1"
"14905304","20251119","1"
"14905300","20251120","1"
"14905304","20251120","1"
"14905300","20251121","1"
"14905304","20251121","1"
"14905100","20251122","1"
"14905200","20251123","1"
"14905300","20251124","1"
"14905304","20251124","1"
"14905300","20251125","1"
"14905304","20251125","1"
"14905300","20251126","1"
"14905304","20251126","1"
"14905300","20251128","1"
"14905312","20251128","1"
"14905100","20251129","1"
"14905200","20251130","1"
"14905300","20251201","1"
"14905304","20251201","1"
"14905300","20251202","1"
"14905304","20251202","1"
"14905300","20251203","1"
"14905304","20251203","1"
"14905300","20251204","1"
"14905304","20251204","1"
"14905300","20251205","1"
"14905304","20251205","1"
"14905100","20251206","1"
"14905200","20251207","1"
"14905300","20251208","1"
"14905304","20251208","1"
"14905300","20251209","1"
"14905304","20251209","1"
"14905300","20251210","1"
"14905304","20251210","1"
"14905300","20251211","1"
"14905304","20251211","1"
"14905300","20251212","1"
"14905304","20251212","1"
"14905100","20251213","1"
"14905200","20251214","1"
"14905300","20251215","1"
"14905305","20251215","1"
"14905300","20251216","1"
"14905305","20251216","1"
"14905300","20251217","1"
"14905305","20251217","1"
"14905300","20251218","1"
"14905305","20251218","1"
"14905300","20251219","1"
"14905305","20251219","1"
"14905100","20251220","1"
"14905200","20251221","1"
"14905300","20251222","1"
"14905304","20251222","1"
"14905300","20251223","1"
"14905304","20251223","1"
"14905300","20251224","1"
"14905304","20251224","1"
"14905300","20251226","1"
"14905312","20251226","1"
"14905100","20251227","1"
"14905200","20251228","1"
"14905300","20251229","1"
"14905312","20251229","1"
"14905300","20251230","1"
"14905312","20251230","1"
"14905300","20251231","1"
"14905312","20251231","1"
"14905200","20260101","1"
"14905300","20260102","1"
"14905312","20260102","1"
"14905100","20260103","1"
"14905200","20260104","1"
"14905300","20260105","1"
"14905304","20260105","1"
"14905300","20260106","1"
"14905304","20260106","1"
"14905300","20260107","1"
"14905304","20260107","1"
"14905300","20260108","1"
"14905304","20260108","1"
"14905300","20260109","1"
"14905304","20260109","1"
"14905100","20260110","1"
"14905200","20260111","1"
"14905300","20260112","1"
"14905304","20260112","1"
"14905300","20260113","1"
"14905304","20260113","1"
"14905300","20260114","1"
"14905304","20260114","1"
"14905300","20260115","1"
"14905304","20260115","1"
"14905300","20260116","1"
"14905304","20260116","1"
"14905100","20260117","1"
"14905200","20260118","1"
"14905300","20260119","1"
"14905312","20260119","1"
"14905300","20260120","1"
"14905304","20260120","1"
"14905300","20260121","1"
"14905304","20260121","1"
"14905300","20260122","1"
"14905304","20260122","1"
"14905300","20260123","1"
"14905304","20260123","1"
"14905100","20260124","1"
"14905200","20260125","1"
"14905300","20260126","1"
"14905304","20260126","1"
"14905300","20260127","1"
"14905304","20260127","1"
"14905300","20260128","1"
"14905304","20260128","1"
"14905300","20260129","1"
"14905304","20260129","1"
"14905300","20260130","1"
"14905304","20260130","1"
"14905100","20260131","1"
