"route_id","service_id","trip_id","trip_headsign","block_id","direction_id","shape_id"
"67","14905200","767823","67 Coburg Rd to <>Delta Oaks","1021","0","27618"
"67","14905200","767824","67 EUGENE STATION <> 67 via VRC","1021","1","27569"
"67","14905200","767843","67 COBURG RD <> 67 VRC","1024","0","27617"
"67","14905200","767844","67 EUGENE STATION <> 67 via VRC","1024","1","27569"
"67","14905200","767847","67 COBURG RD <> 67 VRC","1024","0","27617"
"67","14905200","767848","67 EUGENE STATION <> 67 via VRC","1024","1","27569"
"67","14905200","767857","67 Coburg Rd to <>Delta Oaks","1024","0","27618"
"67","14905200","767858","67 EUGENE STATION <> 67 via VRC","1024","1","27569"
"67","14905200","767875","67 COBURG RD <> 67 VRC","1026","0","27617"
"67","14905200","767876","67 EUGENE STATION <> 67 via VRC","1026","1","27569"
"67","14905200","767879","67 COBURG RD <> 67 VRC","1026","0","27617"
"67","14905200","767880","67 EUGENE STATION <> 67 via VRC","1026","1","27569"
"67","14905200","767903","67 Coburg Rd to <>Delta Oaks","1028","0","27618"
"67","14905200","767904","67 EUGENE STATION <> 67 via VRC","1028","1","27569"
"67","14905200","767969","67 COBURG RD <> 67 VRC","1034","0","27617"
"67","14905200","767970","67 EUGENE STATION <> 67 via VRC","1034","1","27569"
"67","14905200","767979","67 Coburg Rd to <>Delta Oaks","1036","0","27618"
"67","14905200","767980","67 EUGENE STATION <> 67 via VRC","1036","1","27569"
"67","14905300","768010","67 COBURG RD <> 67 VRC","13","0","27617"
"67","14905300","768011","67 EUGENE STATION <> 67 via VRC","13","1","27569"
"67","14905300","768016","67 COBURG RD <> 67 VRC","13","0","27617"
"67","14905300","768017","67 EUGENE STATION <> 67 via VRC","13","1","27569"
"67","14905300","768032","67 COBURG RD <> 67 VRC","13","0","27617"
"67","14905300","768033","67 EUGENE STATION <> 67 via VRC","13","1","27569"
"67","14905300","768080","67 COBURG RD <> 67 VRC","15","0","27617"
"67","14905300","768081","67 EUGENE STATION <> 67 via VRC","15","1","27569"
"67","14905300","768108","67 COBURG RD <> 67 VRC","15","0","27617"
"67","14905300","768109","67 EUGENE STATION <> 67 via VRC","15","1","27569"
"67","14905300","768142","67 COBURG RD <> 67 VRC","17","0","27617"
"67","14905300","768143","67 EUGENE STATION <> 67 via VRC","17","1","27569"
"67","14905300","768304","67 COBURG RD <> 67 VRC","20","0","27617"
"67","14905300","768305","67 EUGENE STATION <> 67 via VRC","20","1","27569"
"67","14905300","768308","67 COBURG RD <> 67 VRC","20","0","27617"
"67","14905300","768309","67 EUGENE STATION <> 67 via VRC","20","1","27569"
"67","14905300","768312","67 COBURG RD <> 67 VRC","20","0","27617"
"67","14905300","768313","67 EUGENE STATION <> 67 via VRC","20","1","27569"
"67","14905300","768378","67 COBURG RD <> 67 VRC","23","0","27617"
"67","14905300","768379","67 EUGENE STATION <> 67 via VRC","23","1","27569"
"67","14905300","768390","67 Coburg Rd to <>Delta Oaks","23","0","27618"
"67","14905300","768391","67 EUGENE STATION <> 67 via VRC","23","1","27569"
"67","14905300","768417","67 COBURG RD <> 67 VRC","24","0","27617"
"67","14905300","768418","67 EUGENE STATION <> 67 via VRC","24","1","27569"
"67","14905300","768427","67 EUGENE STATION <> 67 via VRC","25","1","27571"
"67","14905300","768471","67 COBURG RD <> 67 VRC","26","0","27617"
"67","14905300","768472","67 EUGENE STATION <> 67 via VRC","26","1","27569"
"67","14905300","768546","67 COBURG RD <> 67 VRC","30","0","27617"
"67","14905300","768547","67 EUGENE STATION <> 67 via VRC","30","1","27569"
"67","14905300","768562","67 COBURG RD <> 67 VRC","30","0","27617"
"67","14905300","768563","67 EUGENE STATION <> 67 via VRC","30","1","27569"
"67","14905300","768579","67 COBURG RD <> 67 VRC","32","0","27617"
"67","14905300","768580","67 EUGENE STATION <> 67 via VRC","32","1","27569"
"67","14905300","768619","67 COBURG RD <> 67 VRC","34","0","27617"
"67","14905300","768620","67 EUGENE STATION <> 67 via VRC","34","1","27569"
"67","14905300","769648","67 COBURG RD <> 67 VRC","5","0","27617"
"67","14905300","769649","67 EUGENE STATION <> 67 via VRC","5","1","27569"
"67","14905300","769830","67 COBURG RD <> 67 VRC","6","0","27617"
"67","14905300","769831","67 EUGENE STATION <> 67 via VRC","6","1","27569"
"67","14905300","769840","67 COBURG RD <> 67 VRC","60","0","27617"
"67","14905300","769841","67 EUGENE STATION <> 67 via VRC","60","1","27569"
"67","14905300","769844","67 Coburg Rd to <>Delta Oaks","60","0","27618"
"67","14905300","769845","67 EUGENE STATION <> 67 via VRC","60","1","27569"
