baking 63001 family pairs (251 roots × 251 roots)
  baking in parallel across 12 workers…
  [500/63001] 11.3 pairs/s, ETA 92.4m, 499 non-empty
  [1000/63001] 12.8 pairs/s, ETA 80.9m, 999 non-empty
  [1500/63001] 13.4 pairs/s, ETA 76.5m, 1499 non-empty
  [2000/63001] 14.3 pairs/s, ETA 71.1m, 1998 non-empty
  [2500/63001] 15.0 pairs/s, ETA 67.2m, 2498 non-empty
  [3000/63001] 15.4 pairs/s, ETA 65.0m, 2998 non-empty
  [3500/63001] 15.1 pairs/s, ETA 65.8m, 3498 non-empty
  [4000/63001] 15.6 pairs/s, ETA 63.1m, 3998 non-empty
  [4500/63001] 16.5 pairs/s, ETA 59.0m, 4497 non-empty
  [5000/63001] 16.9 pairs/s, ETA 57.1m, 4996 non-empty
  [5500/63001] 17.3 pairs/s, ETA 55.3m, 5495 non-empty
  [6000/63001] 16.5 pairs/s, ETA 57.4m, 5995 non-empty
  [6500/63001] 16.6 pairs/s, ETA 56.8m, 6495 non-empty
  [7000/63001] 17.2 pairs/s, ETA 54.2m, 6995 non-empty
  [7500/63001] 17.1 pairs/s, ETA 53.9m, 7495 non-empty
  [8000/63001] 17.7 pairs/s, ETA 51.6m, 7993 non-empty
  [8500/63001] 18.3 pairs/s, ETA 49.7m, 8493 non-empty
  [9000/63001] 18.6 pairs/s, ETA 48.3m, 8992 non-empty
  [9500/63001] 19.0 pairs/s, ETA 46.9m, 9475 non-empty
  [10000/63001] 19.1 pairs/s, ETA 46.4m, 9974 non-empty
  [10500/63001] 19.3 pairs/s, ETA 45.3m, 10474 non-empty
  [11000/63001] 19.6 pairs/s, ETA 44.2m, 10974 non-empty
  [11500/63001] 19.9 pairs/s, ETA 43.2m, 11474 non-empty
  [12000/63001] 20.2 pairs/s, ETA 42.1m, 11974 non-empty
  [12500/63001] 20.3 pairs/s, ETA 41.4m, 12474 non-empty
  [13000/63001] 20.3 pairs/s, ETA 41.1m, 12974 non-empty
  [13500/63001] 20.8 pairs/s, ETA 39.6m, 13474 non-empty
  [14000/63001] 21.0 pairs/s, ETA 38.9m, 13973 non-empty
  [14500/63001] 20.3 pairs/s, ETA 39.7m, 14471 non-empty
  [15000/63001] 20.3 pairs/s, ETA 39.4m, 14971 non-empty
  [15500/63001] 20.6 pairs/s, ETA 38.4m, 15470 non-empty
  [16000/63001] 20.9 pairs/s, ETA 37.5m, 15969 non-empty
  [16500/63001] 20.8 pairs/s, ETA 37.3m, 16469 non-empty
  [17000/63001] 21.1 pairs/s, ETA 36.4m, 16964 non-empty
  [17500/63001] 20.8 pairs/s, ETA 36.5m, 17464 non-empty
  [18000/63001] 20.8 pairs/s, ETA 36.1m, 17964 non-empty
  [18500/63001] 20.7 pairs/s, ETA 35.8m, 18464 non-empty
  [19000/63001] 20.7 pairs/s, ETA 35.4m, 18964 non-empty
  [19500/63001] 20.6 pairs/s, ETA 35.3m, 19464 non-empty
  [20000/63001] 20.7 pairs/s, ETA 34.7m, 19964 non-empty
  [20500/63001] 20.6 pairs/s, ETA 34.4m, 20464 non-empty
  [21000/63001] 20.4 pairs/s, ETA 34.4m, 20964 non-empty
  [21500/63001] 20.3 pairs/s, ETA 34.1m, 21464 non-empty
  [22000/63001] 20.3 pairs/s, ETA 33.6m, 21963 non-empty
  [22500/63001] 20.5 pairs/s, ETA 33.0m, 22441 non-empty
  [23000/63001] 20.7 pairs/s, ETA 32.2m, 22932 non-empty
  [23500/63001] 20.8 pairs/s, ETA 31.6m, 23431 non-empty
  [24000/63001] 21.1 pairs/s, ETA 30.9m, 23931 non-empty
  [24500/63001] 21.3 pairs/s, ETA 30.2m, 24429 non-empty
  [25000/63001] 21.3 pairs/s, ETA 29.7m, 24929 non-empty
  [25500/63001] 21.3 pairs/s, ETA 29.3m, 25429 non-empty
  [26000/63001] 21.5 pairs/s, ETA 28.6m, 25929 non-empty
  [26500/63001] 21.7 pairs/s, ETA 28.0m, 26426 non-empty
  [27000/63001] 22.0 pairs/s, ETA 27.3m, 26926 non-empty
  [27500/63001] 22.2 pairs/s, ETA 26.7m, 27425 non-empty
  [28000/63001] 22.1 pairs/s, ETA 26.4m, 27925 non-empty
  [28500/63001] 21.7 pairs/s, ETA 26.4m, 28425 non-empty
  [29000/63001] 21.9 pairs/s, ETA 25.9m, 28924 non-empty
  [29500/63001] 22.1 pairs/s, ETA 25.3m, 29423 non-empty
  [30000/63001] 22.2 pairs/s, ETA 24.8m, 29922 non-empty
  [30500/63001] 22.3 pairs/s, ETA 24.3m, 30418 non-empty
  [31000/63001] 22.3 pairs/s, ETA 23.9m, 30918 non-empty
  [31500/63001] 22.3 pairs/s, ETA 23.5m, 31418 non-empty
  [32000/63001] 22.4 pairs/s, ETA 23.1m, 31917 non-empty
  [32500/63001] 22.4 pairs/s, ETA 22.7m, 32417 non-empty
  [33000/63001] 22.2 pairs/s, ETA 22.6m, 32917 non-empty
  [33500/63001] 22.2 pairs/s, ETA 22.2m, 33417 non-empty
  [34000/63001] 22.2 pairs/s, ETA 21.8m, 33916 non-empty
  [34500/63001] 22.3 pairs/s, ETA 21.3m, 34414 non-empty
  [35000/63001] 22.3 pairs/s, ETA 20.9m, 34912 non-empty
  [35500/63001] 22.5 pairs/s, ETA 20.4m, 35407 non-empty
  [36000/63001] 22.7 pairs/s, ETA 19.8m, 35891 non-empty
  [36500/63001] 22.8 pairs/s, ETA 19.3m, 36389 non-empty
  [37000/63001] 22.7 pairs/s, ETA 19.1m, 36888 non-empty
  [37500/63001] 22.5 pairs/s, ETA 18.9m, 37388 non-empty
  [38000/63001] 22.6 pairs/s, ETA 18.5m, 37888 non-empty
  [38500/63001] 22.6 pairs/s, ETA 18.1m, 38388 non-empty
  [39000/63001] 22.8 pairs/s, ETA 17.6m, 38883 non-empty
  [39500/63001] 22.9 pairs/s, ETA 17.1m, 39373 non-empty
  [40000/63001] 23.1 pairs/s, ETA 16.6m, 39869 non-empty
  [40500/63001] 23.3 pairs/s, ETA 16.1m, 40340 non-empty
  [41000/63001] 23.4 pairs/s, ETA 15.6m, 40837 non-empty
  [41500/63001] 23.4 pairs/s, ETA 15.3m, 41335 non-empty
  [42000/63001] 23.5 pairs/s, ETA 14.9m, 41834 non-empty
  [42500/63001] 23.6 pairs/s, ETA 14.5m, 42332 non-empty
  [43000/63001] 23.6 pairs/s, ETA 14.1m, 42829 non-empty
  [43500/63001] 23.7 pairs/s, ETA 13.7m, 43329 non-empty
  [44000/63001] 23.7 pairs/s, ETA 13.4m, 43829 non-empty
  [44500/63001] 23.6 pairs/s, ETA 13.1m, 44329 non-empty
  [45000/63001] 23.6 pairs/s, ETA 12.7m, 44829 non-empty
  [45500/63001] 23.6 pairs/s, ETA 12.4m, 45329 non-empty
  [46000/63001] 23.5 pairs/s, ETA 12.1m, 45829 non-empty
  [46500/63001] 23.6 pairs/s, ETA 11.7m, 46328 non-empty
  [47000/63001] 23.6 pairs/s, ETA 11.3m, 46828 non-empty
  [47500/63001] 23.6 pairs/s, ETA 11.0m, 47328 non-empty
  [48000/63001] 23.5 pairs/s, ETA 10.6m, 47828 non-empty
  [48500/63001] 23.4 pairs/s, ETA 10.3m, 48327 non-empty
  [49000/63001] 23.5 pairs/s, ETA 9.9m, 48827 non-empty
  [49500/63001] 23.5 pairs/s, ETA 9.6m, 49326 non-empty
  [50000/63001] 23.5 pairs/s, ETA 9.2m, 49826 non-empty
  [50500/63001] 23.5 pairs/s, ETA 8.9m, 50326 non-empty
  [51000/63001] 23.6 pairs/s, ETA 8.5m, 50824 non-empty
  [51500/63001] 23.7 pairs/s, ETA 8.1m, 51324 non-empty
  [52000/63001] 23.8 pairs/s, ETA 7.7m, 51821 non-empty
  [52500/63001] 23.9 pairs/s, ETA 7.3m, 52320 non-empty
  [53000/63001] 23.9 pairs/s, ETA 7.0m, 52819 non-empty
  [53500/63001] 23.9 pairs/s, ETA 6.6m, 53318 non-empty
  [54000/63001] 24.0 pairs/s, ETA 6.3m, 53813 non-empty
  [54500/63001] 23.9 pairs/s, ETA 5.9m, 54313 non-empty
  [55000/63001] 23.9 pairs/s, ETA 5.6m, 54813 non-empty
  [55500/63001] 23.9 pairs/s, ETA 5.2m, 55313 non-empty
  [56000/63001] 23.9 pairs/s, ETA 4.9m, 55813 non-empty
  [56500/63001] 24.0 pairs/s, ETA 4.5m, 56312 non-empty
  [57000/63001] 24.1 pairs/s, ETA 4.2m, 56812 non-empty
  [57500/63001] 24.2 pairs/s, ETA 3.8m, 57312 non-empty
  [58000/63001] 24.2 pairs/s, ETA 3.4m, 57812 non-empty
  [58500/63001] 24.3 pairs/s, ETA 3.1m, 58311 non-empty
  [59000/63001] 24.4 pairs/s, ETA 2.7m, 58811 non-empty
  [59500/63001] 24.4 pairs/s, ETA 2.4m, 59309 non-empty
  [60000/63001] 24.4 pairs/s, ETA 2.1m, 59809 non-empty
  [60500/63001] 24.5 pairs/s, ETA 1.7m, 60253 non-empty
  [61000/63001] 24.6 pairs/s, ETA 1.4m, 60753 non-empty
  [61500/63001] 24.6 pairs/s, ETA 1.0m, 61252 non-empty
  [62000/63001] 24.6 pairs/s, ETA 0.7m, 61752 non-empty
  [62500/63001] 24.6 pairs/s, ETA 0.3m, 62252 non-empty
  [63000/63001] 24.6 pairs/s, ETA 0.0m, 62752 non-empty
  [63001/63001] 24.6 pairs/s, ETA 0.0m, 62753 non-empty

bake complete in 42.9m
  62753 family pairs
  → data/BundledData-if2/shiny-palettes.json  (20500.0 KB)
wrote data/BundledData-if2/shiny-palettes.bin
  62,753 entries  (3,263,172 bytes / 3186.7 KB)
  source JSON: 20,992,009 bytes / 20500.0 KB
  shrink: 15.5%
  bin gzipped: 3,233,617 bytes / 3157.8 KB
