baking 82369 family pairs (287 roots × 287 roots)
  baking in parallel across 4 workers…
  [500/82369] 3.5 pairs/s, ETA 386.0m, 500 non-empty
  [1000/82369] 4.0 pairs/s, ETA 335.3m, 1000 non-empty
  [1500/82369] 4.1 pairs/s, ETA 328.6m, 1500 non-empty
  [2000/82369] 4.5 pairs/s, ETA 301.0m, 2000 non-empty
  [2500/82369] 4.6 pairs/s, ETA 290.5m, 2500 non-empty
  [3000/82369] 4.8 pairs/s, ETA 276.3m, 3000 non-empty
  [3500/82369] 4.8 pairs/s, ETA 273.2m, 3500 non-empty
  [4000/82369] 4.8 pairs/s, ETA 274.1m, 4000 non-empty
  [4500/82369] 4.8 pairs/s, ETA 268.0m, 4500 non-empty
  [5000/82369] 5.1 pairs/s, ETA 254.4m, 5000 non-empty
  [5500/82369] 5.2 pairs/s, ETA 246.7m, 5500 non-empty
  [6000/82369] 5.4 pairs/s, ETA 237.1m, 6000 non-empty
  [6500/82369] 5.4 pairs/s, ETA 236.1m, 6500 non-empty
  [7000/82369] 5.2 pairs/s, ETA 241.2m, 7000 non-empty
  [7500/82369] 5.2 pairs/s, ETA 240.0m, 7500 non-empty
  [8000/82369] 5.4 pairs/s, ETA 230.6m, 8000 non-empty
  [8500/82369] 5.4 pairs/s, ETA 229.6m, 8500 non-empty
  [9000/82369] 5.5 pairs/s, ETA 222.8m, 9000 non-empty
  [9500/82369] 5.6 pairs/s, ETA 216.4m, 9499 non-empty
  [10000/82369] 5.8 pairs/s, ETA 209.7m, 9999 non-empty
  [10500/82369] 5.8 pairs/s, ETA 206.5m, 10499 non-empty
  [11000/82369] 5.9 pairs/s, ETA 200.7m, 10977 non-empty
  [11500/82369] 5.9 pairs/s, ETA 198.6m, 11477 non-empty
  [12000/82369] 6.0 pairs/s, ETA 194.5m, 11977 non-empty
  [12500/82369] 6.1 pairs/s, ETA 190.6m, 12477 non-empty
  [13000/82369] 6.2 pairs/s, ETA 188.0m, 12977 non-empty
  [13500/82369] 6.2 pairs/s, ETA 184.5m, 13477 non-empty
  [14000/82369] 6.3 pairs/s, ETA 180.9m, 13977 non-empty
  [14500/82369] 6.4 pairs/s, ETA 178.1m, 14477 non-empty
  [15000/82369] 6.4 pairs/s, ETA 176.3m, 14977 non-empty
  [15500/82369] 6.5 pairs/s, ETA 171.3m, 15477 non-empty
  [16000/82369] 6.5 pairs/s, ETA 168.9m, 15977 non-empty
  [16500/82369] 6.4 pairs/s, ETA 171.0m, 16477 non-empty
  [17000/82369] 6.3 pairs/s, ETA 173.2m, 16977 non-empty
  [17500/82369] 6.3 pairs/s, ETA 170.3m, 17477 non-empty
  [18000/82369] 6.5 pairs/s, ETA 166.3m, 17977 non-empty
  [18500/82369] 6.5 pairs/s, ETA 163.6m, 18477 non-empty
  [19000/82369] 6.5 pairs/s, ETA 163.1m, 18976 non-empty
  [19500/82369] 6.6 pairs/s, ETA 159.8m, 19475 non-empty
  [20000/82369] 6.5 pairs/s, ETA 160.7m, 19975 non-empty
  [20500/82369] 6.4 pairs/s, ETA 160.3m, 20475 non-empty
  [21000/82369] 6.5 pairs/s, ETA 158.4m, 20975 non-empty
  [21500/82369] 6.4 pairs/s, ETA 157.9m, 21475 non-empty
  [22000/82369] 6.4 pairs/s, ETA 157.4m, 21975 non-empty
  [22500/82369] 6.4 pairs/s, ETA 156.3m, 22475 non-empty
  [23000/82369] 6.4 pairs/s, ETA 154.3m, 22975 non-empty
  [23500/82369] 6.4 pairs/s, ETA 153.7m, 23475 non-empty
  [24000/82369] 6.3 pairs/s, ETA 153.7m, 23975 non-empty
  [24500/82369] 6.3 pairs/s, ETA 152.9m, 24475 non-empty
  [25000/82369] 6.3 pairs/s, ETA 151.5m, 24975 non-empty
  [25500/82369] 6.3 pairs/s, ETA 150.0m, 25475 non-empty
  [26000/82369] 6.4 pairs/s, ETA 146.8m, 25941 non-empty
  [26500/82369] 6.5 pairs/s, ETA 144.3m, 26440 non-empty
  [27000/82369] 6.5 pairs/s, ETA 142.2m, 26940 non-empty
  [27500/82369] 6.6 pairs/s, ETA 139.6m, 27440 non-empty
  [28000/82369] 6.6 pairs/s, ETA 137.1m, 27940 non-empty
  [28500/82369] 6.6 pairs/s, ETA 135.5m, 28440 non-empty
  [29000/82369] 6.6 pairs/s, ETA 134.3m, 28940 non-empty
  [29500/82369] 6.7 pairs/s, ETA 131.9m, 29439 non-empty
  [30000/82369] 6.7 pairs/s, ETA 129.9m, 29939 non-empty
  [30500/82369] 6.8 pairs/s, ETA 127.6m, 30439 non-empty
  [31000/82369] 6.8 pairs/s, ETA 125.1m, 30938 non-empty
  [31500/82369] 6.9 pairs/s, ETA 122.9m, 31438 non-empty
  [32000/82369] 6.9 pairs/s, ETA 122.1m, 31938 non-empty
  [32500/82369] 6.8 pairs/s, ETA 122.3m, 32438 non-empty
  [33000/82369] 6.8 pairs/s, ETA 121.2m, 32938 non-empty
  [33500/82369] 6.8 pairs/s, ETA 119.0m, 33438 non-empty
  [34000/82369] 6.9 pairs/s, ETA 117.0m, 33937 non-empty
  [34500/82369] 6.9 pairs/s, ETA 115.2m, 34435 non-empty
  [35000/82369] 7.0 pairs/s, ETA 113.6m, 34935 non-empty
  [35500/82369] 6.9 pairs/s, ETA 112.6m, 35435 non-empty
  [36000/82369] 7.0 pairs/s, ETA 111.1m, 35935 non-empty
  [36500/82369] 7.0 pairs/s, ETA 109.7m, 36435 non-empty
  [37000/82369] 7.0 pairs/s, ETA 108.0m, 36935 non-empty
  [37500/82369] 6.9 pairs/s, ETA 108.1m, 37435 non-empty
  [38000/82369] 6.9 pairs/s, ETA 107.3m, 37935 non-empty
  [38500/82369] 6.9 pairs/s, ETA 105.9m, 38434 non-empty
  [39000/82369] 6.9 pairs/s, ETA 104.4m, 38934 non-empty
  [39500/82369] 6.9 pairs/s, ETA 103.1m, 39434 non-empty
  [40000/82369] 7.0 pairs/s, ETA 101.5m, 39934 non-empty
  [40500/82369] 7.0 pairs/s, ETA 99.8m, 40433 non-empty
  [41000/82369] 7.1 pairs/s, ETA 97.8m, 40921 non-empty
